DateTime,TankState
2024-08-26 00:00:00,MAINTENANCE
2024-08-26 00:00:01,MAINTENANCE
2024-08-26 00:00:02,MAINTENANCE
2024-08-26 00:00:03,MAINTENANCE
2024-08-26 00:00:04,MAINTENANCE
2024-08-26 00:00:05,MAINTENANCE
2024-08-26 00:00:06,MAINTENANCE
2024-08-26 00:00:07,MAINTENANCE
2024-08-26 00:00:08,MAINTENANCE
2024-08-26 00:00:09,MAINTENANCE
2024-08-26 00:00:10,MAINTENANCE
2024-08-26 00:00:11,MAINTENANCE
2024-08-26 00:00:12,MILKING
2024-08-26 00:00:13,MILKING
2024-08-26 00:00:14,MILKING
2024-08-26 00:00:15,MILKING
2024-08-26 00:00:16,MILKING
2024-08-26 00:00:17,MILKING
2024-08-26 00:00:18,COOLING
2024-08-26 00:00:19,COOLING
2024-08-26 00:00:20,MAINTENANCE
2024-08-26 00:00:21,COOLING
2024-08-26 00:00:22,MAINTENANCE
2024-08-26 00:00:23,MAINTENANCE
2024-08-26 00:00:24,MAINTENANCE
2024-08-26 00:00:25,MAINTENANCE
2024-08-26 00:00:26,CLEANING
2024-08-26 00:00:27,CLEANING
2024-08-26 00:00:28,CLEANING
2024-08-26 00:00:29,CLEANING
2024-08-26 00:00:30,MILKING
2024-08-26 00:00:31,CLEANING
2024-08-26 00:00:32,MILKING
2024-08-26 00:00:33,EMPTY TANK
2024-08-26 00:00:34,COOLING
2024-08-26 00:00:35,COOLING
2024-08-26 00:00:36,COOLING
2024-08-26 00:00:37,MAINTENANCE
2024-08-26 00:00:38,MAINTENANCE
2024-08-26 00:00:39,MAINTENANCE
2024-08-26 00:00:40,MAINTENANCE
2024-08-26 00:00:41,MAINTENANCE
2024-08-26 00:00:42,MAINTENANCE
2024-08-26 00:00:43,MAINTENANCE
2024-08-26 00:00:44,MAINTENANCE
2024-08-26 00:00:45,MAINTENANCE
2024-08-26 00:00:46,MAINTENANCE
2024-08-26 00:00:47,MAINTENANCE
2024-08-26 00:00:48,MAINTENANCE
2024-08-26 00:00:49,MAINTENANCE
2024-08-26 00:00:50,MAINTENANCE
2024-08-26 00:00:51,MAINTENANCE
2024-08-26 00:00:52,MAINTENANCE
